DAMAGE,STRUCTURETYPE,dnbr,dndvi,Slope,Wind,NLCD,Longitude,Latitude,Damage_Code
Destroyed (>50%),Multi Family Residence Multi Story,0.3800000,0.4400000,12.3900003,3.0999999,2,-118.637118093051939,34.038511689540080,1
No Damage,Single Family Residence Single Story,0.1000000,0.1000000,2.7100000,3.0999999,3,-118.636928252981249,34.037770277987029,2
No Damage,Multi Family Residence Multi Story,0.0800000,0.1200000,5.0000000,3.0999999,3,-118.636530315480044,34.037400900039266,2
No Damage,Commercial Building Single Story,0.0700000,0.0500000,5.0000000,3.0999999,3,-118.636598985395253,34.037294489675432,2
No Damage,Commercial Building Single Story,-0.0100000,-0.0500000,5.0000000,3.0999999,3,-118.636525807733946,34.037170154505496,2
Destroyed (>50%),Single Family Residence Multi Story,0.1400000,0.1300000,15.8100004,3.4600000,2,-118.618710761277384,34.039580388608719,1
Destroyed (>50%),Single Family Residence Single Story,0.1200000,0.1400000,13.2799997,3.4600000,2,-118.618440528276963,34.039715166997922,1
Affected (1-9%),Single Family Residence Multi Story,0.0400000,0.0100000,11.6000004,2.9100001,2,-118.640473465029743,34.039945052541277,1
No Damage,Single Family Residence Multi Story,0.0700000,0.0300000,12.4399996,2.9100001,2,-118.640378399916500,34.040380179710453,2
No Damage,Single Family Residence Multi Story,0.0500000,0.0400000,13.0699997,2.9100001,2,-118.640571162206825,34.040295649033766,2
No Damage,Single Family Residence Multi Story,0.1200000,0.1600000,13.0699997,2.9100001,2,-118.640632107508964,34.040369211971949,2
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.1100000,14.5299997,2.9100001,2,-118.640712620812920,34.039859025956474,1
Destroyed (>50%),Single Family Residence Single Story,0.2400000,0.2900000,12.1599998,2.6700001,2,-118.637052648088471,34.041021619483061,1
No Damage,Utility Misc Structure,0.1900000,0.2200000,8.7799997,2.6700001,2,-118.637338700421068,34.041044116794623,2
Affected (1-9%),Single Family Residence Multi Story,0.0800000,0.0300000,14.6499996,2.6700001,2,-118.636779369799257,34.041204165160408,1
Affected (1-9%),Single Family Residence Single Story,-0.0700000,-0.1300000,13.7100000,3.0999999,2,-118.636832837524992,34.040332912126928,1
Affected (1-9%),Utility Misc Structure,0.1000000,0.0400000,17.2700005,3.0999999,2,-118.636730913774571,34.040202178960143,1
No Damage,Single Family Residence Multi Story,0.0900000,0.0100000,17.5000000,3.0999999,2,-118.637028701697972,34.039697749788232,2
No Damage,Single Family Residence Multi Story,-0.0000000,-0.0600000,9.7600002,3.0999999,2,-118.637260513753645,34.040557095523610,2
No Damage,Single Family Residence Multi Story,0.1200000,-0.0200000,15.0299997,3.0999999,2,-118.637213130317349,34.040126711739916,2
No Damage,Utility Misc Structure,0.1900000,0.2100000,10.3999996,3.0999999,2,-118.637109481801588,34.040242089124305,2
Affected (1-9%),Commercial Building Single Story,0.0800000,0.1300000,11.4200001,3.0999999,2,-118.637634205725334,34.040058300485263,1
No Damage,Multi Family Residence Multi Story,-0.0100000,-0.0400000,9.1300001,3.0999999,3,-118.636742483177116,34.038190919082794,2
No Damage,Single Family Residence Multi Story,0.0200000,0.0300000,17.3400002,3.0999999,3,-118.636474957698979,34.037926801075869,2
No Damage,Single Family Residence Multi Story,0.0300000,-0.0500000,11.6599998,3.0999999,2,-118.636313004029631,34.037804654640645,2
No Damage,Multi Family Residence Multi Story,0.0100000,-0.0200000,5.0000000,3.3099999,3,-118.636082197188742,34.037348211494219,2
No Damage,Multi Family Residence Multi Story,0.1000000,0.1100000,5.0000000,3.3099999,3,-118.635926246062184,34.037204937106189,2
Destroyed (>50%),Single Family Residence Multi Story,-0.0500000,-0.0800000,2.5999999,2.9800000,3,-118.651312161752216,34.038054866086213,1
Destroyed (>50%),Single Family Residence Single Story,0.0100000,-0.0200000,1.9100000,2.9800000,3,-118.650854120670260,34.037978942124653,1
Destroyed (>50%),Single Family Residence Multi Story,-0.0200000,-0.0900000,1.9100000,2.9800000,3,-118.650701734058728,34.037964187291962,1
Destroyed (>50%),Single Family Residence Multi Story,-0.0500000,-0.1200000,4.5700002,3.8099999,3,-118.618689841311095,34.044626558316857,1
No Damage,Single Family Residence Multi Story,0.0300000,0.0200000,7.2500000,3.8099999,2,-118.619497592041526,34.044471910692558,2
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,-0.0400000,12.1800003,2.6700001,3,-118.636708377738998,34.040969878546804,1
Minor (10-25%),Single Family Residence Multi Story,-0.0100000,-0.0200000,12.1800003,2.6700001,3,-118.636612201409761,34.040783534541774,1
No Damage,Single Family Residence Single Story,0.2600000,0.3200000,15.1099997,3.0100000,2,-118.652205513844365,34.040283873627942,2
Destroyed (>50%),Single Family Residence Multi Story,-0.0300000,-0.0600000,4.1500001,3.8099999,2,-118.621904236179816,34.044581130890315,1
No Damage,Multi Family Residence Multi Story,0.0200000,-0.0300000,13.0600004,2.9100001,2,-118.639016751575141,34.038921053831267,2
Destroyed (>50%),Utility Misc Structure,-0.0300000,-0.1000000,2.5999999,2.9800000,3,-118.651206015021558,34.038098599025481,1
Destroyed (>50%),Single Family Residence Single Story,-0.0400000,-0.0900000,2.5999999,2.9800000,3,-118.651108703221837,34.038002694563588,1
Destroyed (>50%),Utility Misc Structure,-0.0200000,-0.0100000,2.5999999,2.9800000,3,-118.651046048425712,34.038077660457219,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0200000,1.1799999,2.9800000,3,-118.650570896234214,34.037933140423910,1
Destroyed (>50%),Single Family Residence Multi Story,0.0900000,0.0500000,1.1799999,2.9800000,3,-118.650464539297857,34.037908893680736,1
No Damage,Infrastructure,-0.0300000,-0.0400000,5.0100002,2.9800000,3,-118.649615288197950,34.038407990930963,2
No Damage,Utility Misc Structure,0.0300000,0.0400000,5.4000001,2.9800000,2,-118.649733063619905,34.038598908529181,2
No Damage,Utility Misc Structure,0.0200000,0.0200000,6.2900000,2.9800000,3,-118.649987726121438,34.038763325909365,2
Affected (1-9%),Single Family Residence Multi Story,0.0800000,0.0100000,5.0999999,3.0100000,3,-118.651776760535682,34.039381587879035,1
Destroyed (>50%),Single Family Residence Multi Story,0.2400000,0.3400000,12.8000002,3.0100000,2,-118.652212734502612,34.040491196905151,1
No Damage,Single Family Residence Multi Story,-0.0000000,0.0300000,4.1999998,3.0100000,2,-118.652293951187431,34.039603513078752,2
No Damage,Utility Misc Structure,0.1300000,0.1500000,6.7300000,3.8099999,2,-118.621622303521150,34.044281093403235,2
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,-0.0400000,8.4600000,2.9100001,2,-118.638550138768807,34.038554068182137,1
